Key	ClassName	Enabled
ALGAE_COMBASEEC50	insilico.algae_combaseEC50.ismAlgaeCombaseEC50	TRUE
ALGAE_COMBASECLASS	insilico.algae_combaseclass.ismAlgaeCombaseClass	TRUE
ALGAE_EC50	insilico.algae_ec50.ismAlgaeEC50	TRUE
ALGAE_NOEC	insilico.algae_noec.ismAlgaeNOEC	TRUE
AROM_TOX21	insilico.aromatase_activity.ismAromataseTox21	TRUE
AROM_IRMFN	insilico.aromatase_irfmn.ismAromataseIRFMN	TRUE
BCF_ARNOTGOBAS	insilico.bcf_arnotgobas.ismBCFArnotGobas	TRUE
BCF_CAESAR	insilico.bcf_caesar.ismBCFCaesar	TRUE
BCF_KNN	insilico.bcf_knn.ismBCFKnn	TRUE
BCF_MEYLAN	insilico.bcf_meylan.ismBCFMeylan	TRUE
BEE_KNN	insilico.bee_knn.ismBeeKnn	TRUE
CARC_ANTARES	insilico.carcinogenicity_antares.ismCarcinogenicityAntares	TRUE
CARC_ISS	insilico.carcinogenicity_bb.ismCarcinogenicityBB	TRUE
CARC_CAESAR	insilico.carcinogenicity_caesar.ismCarcinogenicityCaesar	TRUE
CARC_ISSCAN-CGX	insilico.carcinogenicity_isscancgx.ismCarcinogenicityIsscanCgx	TRUE
CARCINOGENICTY_FEMALE	insilico.carcinogenicity_rat_female.ismCarcinogenicityRatFemale	TRUE
CARCINOGENICTY_MALE	insilico.carcinogenicity_rat_male.ismCarcinogenicityRatMale	TRUE
CARC_SFI_CLASS	insilico.carcinogenicity_sfi_classification.ismCarcinogenicitySFIClassification	TRUE
CARC_SFI_REGR	insilico.carcinogenicity_sfiregression.ismCarcinogenicitySFIRegression	TRUE
CARC_SFO_CLASS	insilico.carcinogenicity_sfoclassification.ismCarcinogenicitySFOClassification	TRUE
CARC_SFO_REGR	insilico.carcinogenicity_sforegression.ismCarcinogenicitySFORegression	TRUE
CHROM_CORAL	insilico.chromosomal_coral.ismChromosomalAberrationCoral	TRUE
CRAMER_TOXTREE	insilico.cramer_toxtree.ismCramerToxtree	TRUE
DAPHNIA_COMBASE	insilico.daphnia_combase.ismDaphniaCombase	TRUE
DAPHNIA_DEMETRA	insilico.daphnia_demetra.ismDaphniaDemetra	TRUE
DAPHNIA_EC50	insilico.daphnia_ec50.ismDaphniaEC50	TRUE
DAPHNIA_EPA	insilico.daphnia_epa.ismDaphniaEPA	TRUE
DAPHNIA_NOEC	insilico.daphnia_noec.ismDaphniaNOEC	TRUE
DEVTOX_CAESAR	insilico.devtox_caesar.ismDevtoxCaesar	TRUE
DEVTOX_PG	insilico.devtox_pg.ismDevToxPG	TRUE
EW_TOXICITY	insilico.earthworm_toxicity.ismEarthworkToxicity	TRUE
ED_SCREEN	insilico.endocrine_disruptors_irfmn.ismEndocrineDisruptorsIRFMN	TRUE
EYE IRRITATION	insilico.eye_irritation.ismEyeIrritation	TRUE
EYE_IRRITATION_KNN	insilico.eye_irritation_knn.ismEyeIrritationKnn	TRUE
EYE_IRRITATION_SARPY	insilico.eye_irritation_sarpy.ismEyeIrritationSarpy	TRUE
FATHEAD_EPA	insilico.fathead_epa.ismFatheadEPA	TRUE
FATHEAD_KNN	insilico.fathead_knn.ismFatheadKnn	TRUE
FISH_COMBASE	insilico.fish_combase.ismFishCombase	TRUE
FISH_IRFMN	insilico.fish_irfmn.ismFishIRFMN	TRUE
FISH_KNN	insilico.fish_knn.ismFishKnn	TRUE
FISH_LC50	insilico.fish_lc50.ismFishLC50	TRUE
FISH_NIC	insilico.fish_nic.ismFishNic	TRUE
FISH_NOEC	insilico.fish_noec.ismFishNOEC	TRUE
GLUCO_RECEPTOR	insilico.glucocorticoid_receptor.ismGlucocorticoidReceptor	TRUE
GUPPY_KNN	insilico.guppy_knn.ismGuppyKnn	TRUE
HENRY_OPERA	insilico.henryslaw.ismHenrysLawOpera	TRUE
HEPA_IRFMN	insilico.hepatoxicty_irfmn.ismHepatotoxicityIrfmn	TRUE
HYDROLYSIS_CORAL	insilico.hydrolysis_coral.ismHydrolysisCoral	TRUE
KM_ARNOT	insilico.km_arnot.ismKmArnot	TRUE
KOA_OPERA	insilico.koa_opera.ismKoaOpera	TRUE
KOC_OPERA	insilico.koc_opera.ismKocOpera	TRUE
LD50_KNN	insilico.ld50.ismLD50	TRUE
LOEL_LIVER_CORAL	insilico.loael_coral_liver.ismLoaelCoralLiver	TRUE
